Hotel_Name,Location,Ratings,No_of_Reviews
Ibis Styles Paris Météor Avenue D'Italie,Paris,5.0 of 5 bubbles,242 reviews
Bloom House Hôtel & Spa,Paris,5.0 of 5 bubbles,101 reviews
Hôtel La Comtesse,Paris,4.0 of 5 bubbles,984 reviews
La Maison Montparnasse,Paris,5.0 of 5 bubbles,630 reviews
Piapia Hotel,Paris,5.0 of 5 bubbles,502 reviews
Pullman Paris Montparnasse Hotel,Paris,5.0 of 5 bubbles,475 reviews
St Christopher's Inn Canal Paris,Paris,5.0 of 5 bubbles,"1,432 reviews"
Hotel Therese,Paris,5.0 of 5 bubbles,968 reviews
Citadines Les Halles Paris,Paris,5.0 of 5 bubbles,"1,469 reviews"
Hotel Astoria - Astotel,Paris,4.0 of 5 bubbles,"2,634 reviews"
Hotel de Londres Eiffel,Paris,5.0 of 5 bubbles,"2,237 reviews"
Hôtel Saint-André des Arts,Paris,4.0 of 5 bubbles,330 reviews
Hotel les Dames du Panthéon,Paris,3.0 of 5 bubbles,"1,409 reviews"
Hotel Regent's Garden - Astotel,Paris,2.0 of 5 bubbles,"1,669 reviews"
Hôtel Acadia - Astotel,Paris,5.0 of 5 bubbles,"1,344 reviews"
Hôtel Léopold,Paris,5.0 of 5 bubbles,502 reviews
Hotel Britannique,Paris,5.0 of 5 bubbles,"2,689 reviews"
Hotel Mistral,Paris,5.0 of 5 bubbles,"1,710 reviews"
Hotel du College de France,Paris,5.0 of 5 bubbles,"1,723 reviews"
Hôtel Molière,Paris,5.0 of 5 bubbles,"1,191 reviews"
Le Parisis Paris Tour Eiffel,Paris,5.0 of 5 bubbles,950 reviews
Grand Hôtel Doré,Paris,5.0 of 5 bubbles,853 reviews
Hotel Mercure Paris Alésia,Paris,5.0 of 5 bubbles,784 reviews
Hotel & Spa de Latour Maubourg,Paris,5.0 of 5 bubbles,"1,011 reviews"
Le Narcisse Blanc Hotel & Spa,Paris,5.0 of 5 bubbles,997 reviews
Hôtel Pas de Calais,Paris,5.0 of 5 bubbles,927 reviews
Hotel La Tamise,Paris,5.0 of 5 bubbles,880 reviews
Hotel Villa Saxe Eiffel,Paris,5.0 of 5 bubbles,"1,438 reviews"
LAZ’ Hotel Spa Urbain,Paris,5.0 of 5 bubbles,539 reviews
Les Tournelles,Paris,5.0 of 5 bubbles,599 reviews
Campanile Prime Paris 19 - La Villette,Paris,5.0 of 5 bubbles,"1,996 reviews"
Hôtel Le Marquis By Inwood Hotels,Paris,5.0 of 5 bubbles,670 reviews
Hôtel Littéraire Marcel Aymé,Paris,5.0 of 5 bubbles,253 reviews
Hotel du Printemps,Paris,5.0 of 5 bubbles,"1,205 reviews"
Hotel Sainte Beuve,Paris,5.0 of 5 bubbles,"1,112 reviews"
The People - Paris Bercy,Paris,5.0 of 5 bubbles,271 reviews
Hôtel Petit Lafayette,Paris,5.0 of 5 bubbles,208 reviews
Villa du Square,Paris,5.0 of 5 bubbles,132 reviews
Hôtel Korner Saint-marcel,Paris,5.0 of 5 bubbles,289 reviews
